-5.47	-3.44
-5.10	-3.47
-5.23	-3.09
-5.26	-3.58
-5.23	-3.55
-4.84	-3.03
-5.55	-3.52
-5.19	-2.99
-5.00	-3.02
-5.47	-3.14
-5.24	-3.09
-5.03	-2.97
-4.90	-3.20
-5.28	-3.00
-4.79	-3.48
-5.20	-3.60
-5.30	-3.43
-4.62	-2.92
-5.01	-3.15
-5.24	-3.26
-4.90	-3.77
-4.93	-2.97
-5.28	-3.11
-4.45	-2.66
-5.08	-3.11
-5.25	-3.29
-5.10	-3.56
-5.29	-3.58
-5.19	-3.11
-5.07	-3.57
-4.67	-3.34
-5.06	-2.89
-4.65	-3.19
-4.86	-3.04
-5.32	-3.21
-5.18	-3.35
-4.79	-3.37
-4.82	-3.02
-4.93	-3.00
-4.84	-2.92
-5.39	-2.93
-5.17	-2.99
-5.24	-3.65
-5.04	-3.49
-4.98	-3.37
-4.99	-3.45
-5.04	-2.98
-5.25	-3.28
-5.10	-3.05
-4.98	-3.36
-5.19	-3.09
-5.26	-3.02
-5.01	-2.73
-5.31	-3.36
-4.41	-2.68
-5.14	-3.31
-5.16	-3.37
-4.90	-2.93
-4.62	-3.06
-4.99	-3.08
-5.15	-3.43
-5.15	-3.01
-5.06	-3.48
-5.03	-3.30
-5.28	-2.95
-4.95	-3.12
-5.40	-3.16
-4.94	-2.84
-4.81	-2.92
-4.63	-2.92
-5.11	-3.43
-4.84	-3.05
-4.68	-3.36
-4.99	-3.06
-5.28	-3.42
-5.22	-2.99
-5.04	-2.84
-4.86	-3.28
-4.75	-3.15
-5.30	-3.88
-4.96	-3.11
-5.01	-3.04
-5.08	-3.02
-4.66	-2.89
-4.81	-3.10
-5.34	-3.19
-5.00	-3.18
-5.25	-3.14
-5.19	-3.41
-5.03	-3.61
-4.94	-3.19
-4.95	-3.51
-4.65	-2.68
-4.74	-2.87
-5.28	-3.16
-5.33	-3.53
-5.04	-3.46
-5.23	-3.63
-5.16	-3.10
-4.68	-3.31
-5.08	-3.42
-5.16	-3.04
-5.18	-3.13
-5.43	-3.23
-5.43	-3.13
-4.97	-3.62
-5.24	-3.27
-4.87	-2.84
-5.36	-3.19
-4.98	-3.14
-4.82	-2.92
-4.76	-3.08
-4.35	-2.59
-5.44	-3.14
-4.99	-2.85
-5.21	-2.90
-5.13	-3.23
-4.78	-2.99
-4.78	-3.36
-4.60	-2.73
-4.96	-3.88
-4.78	-3.61
-5.18	-3.25
-5.24	-3.55
-4.67	-3.14
-5.39	-3.53
-4.63	-3.28
-5.16	-3.43
-5.12	-3.14
-4.90	-3.61
-5.26	-2.94
-4.85	-2.97
-5.13	-2.98
-5.08	-3.44
-5.26	-3.48
-5.15	-3.23
-4.63	-3.37
-4.88	-3.27
-4.93	-3.66
-5.27	-2.96
-4.82	-3.24
-4.51	-2.97
-5.28	-3.50
-5.14	-3.26
-5.13	-3.04
-4.87	-3.31
-5.09	-3.58
-5.03	-3.47
-4.85	-3.46
-4.99	-3.11
-5.28	-3.03
-5.19	-3.55
-5.25	-3.61
-5.26	-3.23
-5.30	-3.21
-5.26	-3.12
-5.20	-3.45
-4.78	-2.83
-4.89	-2.89
-5.13	-3.34
-4.46	-2.86
-4.80	-3.12
-4.63	-2.78
-5.16	-2.69
-4.73	-3.17
-4.80	-3.10
-4.74	-3.13
-5.12	-2.82
-4.88	-3.16
-5.32	-2.99
-4.87	-3.17
-5.44	-3.69
-4.60	-2.90
-5.32	-3.18
-4.67	-3.53
-4.91	-3.27
-5.32	-3.17
-5.30	-3.11
-5.32	-3.10
-5.35	-3.54
-5.09	-3.43
-4.97	-2.98
-5.17	-3.35
-5.02	-3.02
-5.07	-3.34
-5.22	-2.99
-5.27	-3.34
-5.13	-3.63
-5.16	-3.30
-5.09	-3.07
-4.96	-2.75
-4.95	-3.27
-4.98	-3.70
-4.74	-3.37
-4.94	-3.01
-5.43	-3.68
-5.46	-3.39
-5.28	-3.05
-4.99	-3.54
-4.94	-3.15
